record_id,project,publication_month,post_type,duration_seconds,views,reach,likes,shares,comments,saves,follows,total_interactions
POST_001,Ocean Culture,2026-04,Carousel,0,296,96.0,18,1,0,0,0.0,19
POST_002,Ocean Culture,2026-04,Carousel,0,641,383.0,35,73,2,0,6.0,110
POST_003,Ocean Culture,2026-04,Carousel,0,612,256.0,21,3,0,1,1.0,25
POST_004,Ocean Culture,2026-04,Carousel,0,248,72.0,20,3,0,0,1.0,23
POST_005,Ocean Culture,2026-04,Carousel,0,450,184.0,18,1,0,0,0.0,19
POST_006,Ocean Culture,2026-04,Carousel,0,233,70.0,21,1,1,0,0.0,23
POST_007,Ocean Culture,2026-04,Carousel,0,449,264.0,17,2,0,0,0.0,19
POST_008,Ocean Culture,2026-04,Carousel,0,270,71.0,15,1,0,0,0.0,16
POST_009,Ocean Culture,2026-04,Carousel,0,393,171.0,14,5,0,0,0.0,19
POST_010,Ocean Culture,2026-04,Carousel,0,292,132.0,12,2,0,0,0.0,14
POST_011,Ocean Culture,2026-04,Carousel,0,223,66.0,14,2,0,0,0.0,16
POST_012,Ocean Culture,2026-04,Carousel,0,173,54.0,14,0,0,0,0.0,14
POST_013,Ocean Culture,2026-05,Carousel,0,229,92.0,18,2,0,0,0.0,20
POST_014,Ocean Culture,2026-05,Image,0,151,,7,0,0,0,,7
POST_015,Ocean Culture,2026-05,Image,0,81,40.0,5,0,0,0,0.0,5
POST_016,Ocean Culture,2026-05,Image,0,97,38.0,6,0,0,0,0.0,6
POST_017,Ocean Culture,2026-05,Image,0,91,38.0,7,0,0,0,0.0,7
POST_018,Ocean Culture,2026-05,Carousel,0,204,78.0,14,1,0,1,1.0,16
POST_019,Ocean Culture,2026-05,Image,0,92,45.0,6,0,0,0,0.0,6
POST_020,Ocean Culture,2026-05,Image,0,84,42.0,9,0,0,0,0.0,9
POST_021,Ocean Culture,2026-05,Image,0,100,45.0,9,0,0,0,0.0,9
POST_022,Ocean Culture,2026-05,Carousel,0,144,53.0,10,0,0,0,0.0,10
POST_023,Ocean Culture,2026-05,Carousel,0,184,63.0,16,0,0,0,0.0,16
POST_024,Ocean Culture,2026-05,Image,0,143,66.0,11,0,0,0,0.0,11
POST_025,Ocean Culture,2026-05,Image,0,75,36.0,7,0,0,1,0.0,8
POST_026,Ocean Culture,2026-05,Image,0,78,38.0,7,0,0,0,0.0,7
POST_027,Ocean Culture,2026-05,Image,0,84,41.0,6,0,0,0,0.0,6
POST_028,Ocean Culture,2026-05,Carousel,0,106,45.0,7,0,0,0,0.0,7
POST_029,Ocean Culture,2026-05,Image,0,111,51.0,7,0,0,0,0.0,7
POST_030,Ocean Culture,2026-05,Carousel,0,136,46.0,10,3,0,0,0.0,13
POST_031,Ocean Culture,2026-05,Image,0,90,45.0,7,0,0,0,0.0,7
POST_032,Ocean Culture,2026-05,Carousel,0,128,48.0,15,0,0,0,0.0,15
POST_033,Ocean Culture,2026-05,Carousel,0,146,55.0,6,0,0,0,0.0,6
POST_034,Ocean Culture,2026-05,Image,0,95,41.0,6,0,0,0,0.0,6
POST_035,Ocean Culture,2026-05,Image,0,125,57.0,12,0,0,0,0.0,12
POST_036,Ocean Culture,2026-05,Image,0,101,53.0,5,0,0,0,0.0,5
POST_037,Ocean Culture,2026-05,Image,0,193,100.0,11,1,0,0,0.0,12
POST_038,Ocean Culture,2026-05,Image,0,115,61.0,9,0,0,0,0.0,9
POST_039,Ocean Culture,2026-05,Image,0,95,48.0,9,0,0,0,0.0,9
POST_040,Ocean Culture,2026-05,Image,0,96,41.0,8,0,0,0,0.0,8
POST_041,Ocean Culture,2026-05,Image,0,134,66.0,7,0,0,0,0.0,7
POST_042,Ocean Culture,2026-05,Image,0,112,55.0,8,0,0,0,0.0,8
POST_043,Ocean Culture,2026-05,Image,0,128,64.0,9,1,0,0,0.0,10
POST_044,Ocean Culture,2026-05,Image,0,87,36.0,4,1,0,0,0.0,5
POST_045,Ocean Culture,2026-05,Image,0,122,62.0,9,0,0,0,0.0,9
POST_046,Ocean Culture,2026-06,Image,0,76,35.0,2,0,0,0,0.0,2
POST_047,Ocean Culture,2026-06,Image,0,107,47.0,5,0,0,0,0.0,5
POST_048,Ocean Culture,2026-06,Image,0,91,38.0,2,0,0,0,0.0,2
POST_049,Ocean Culture,2026-06,Image,0,148,65.0,9,1,0,0,0.0,10
POST_050,Ocean Culture,2026-06,Image,0,112,51.0,3,0,0,0,0.0,3
POST_051,Ocean Culture,2026-06,Image,0,91,42.0,3,0,0,0,0.0,3
POST_052,Ocean Culture,2026-06,Image,0,96,45.0,2,0,0,0,0.0,2
POST_053,Ocean Culture,2026-06,Image,0,94,39.0,6,0,0,0,0.0,6
POST_054,Ocean Culture,2026-06,Carousel,0,242,101.0,15,1,0,0,0.0,16
POST_055,Ocean Culture,2026-06,Image,0,93,42.0,3,1,0,0,0.0,4
POST_056,Ocean Culture,2026-06,Image,0,83,37.0,4,0,0,0,0.0,4
POST_057,Ocean Culture,2026-06,Image,0,113,56.0,3,0,0,0,0.0,3
POST_058,Ocean Culture,2026-06,Image,0,225,132.0,12,6,0,0,1.0,18
POST_059,Ocean Culture,2026-06,Image,0,86,44.0,5,0,0,0,0.0,5
POST_060,Ocean Culture,2026-06,Image,0,171,89.0,4,1,0,0,0.0,5
POST_061,Ocean Culture,2026-06,Image,0,109,60.0,5,0,0,0,0.0,5
POST_062,Ocean Culture,2026-06,Image,0,75,39.0,2,0,0,0,0.0,2
POST_063,Ocean Culture,2026-06,Image,0,72,44.0,2,0,0,0,0.0,2
POST_064,Ocean Culture,2026-06,Image,0,70,41.0,2,0,0,0,0.0,2
POST_065,Ocean Culture,2026-06,Image,0,200,97.0,5,1,0,1,0.0,7
POST_066,Ocean Culture,2026-06,Image,0,116,55.0,6,0,1,0,0.0,7
POST_067,Ocean Culture,2026-06,Image,0,524,,10,0,0,0,,10
POST_068,Ocean Culture,2026-06,Image,0,223,106.0,3,1,0,0,0.0,4
POST_069,Ocean Culture,2026-06,Image,0,105,49.0,4,0,0,0,0.0,4
POST_070,Ocean Culture,2026-06,Image,0,194,128.0,3,1,0,0,0.0,4
POST_071,Ocean Culture,2026-06,Image,0,93,42.0,2,0,0,0,0.0,2
POST_072,Ocean Culture,2026-06,Image,0,67,37.0,1,0,0,0,0.0,1
POST_073,Ocean Culture,2026-06,Image,0,82,47.0,3,0,0,0,0.0,3
POST_074,Ocean Culture,2026-06,Image,0,97,40.0,5,0,0,0,0.0,5
POST_075,Ocean Culture,2026-06,Image,0,79,43.0,7,0,0,0,0.0,7
POST_076,Ocean Culture,2026-06,Image,0,78,46.0,5,0,0,0,0.0,5
POST_077,Ocean Culture,2026-06,Image,0,81,44.0,3,0,0,0,0.0,3
POST_078,Ocean Culture,2026-06,Image,0,160,90.0,1,2,0,0,0.0,3
POST_079,Ocean Culture,2026-06,Image,0,127,70.0,2,1,0,0,0.0,3
POST_080,Ocean Culture,2026-06,Image,0,132,61.0,4,1,0,0,0.0,5
POST_081,Ocean Culture,2026-06,Image,0,138,78.0,7,1,0,0,0.0,8
POST_082,Ocean Culture,2026-06,Image,0,267,165.0,0,2,0,0,0.0,2
POST_083,Ocean Culture,2026-06,Image,0,128,64.0,3,0,0,0,0.0,3
POST_084,Ocean Culture,2026-06,Image,0,109,61.0,4,0,0,0,0.0,4
POST_085,Ocean Culture,2026-06,Image,0,273,192.0,0,1,0,0,0.0,1
POST_086,Ocean Culture,2026-06,Reel,5,218,175.0,1,0,0,0,0.0,1
POST_087,Ocean Culture,2026-06,Image,0,104,51.0,4,0,1,0,0.0,5
POST_088,Ocean Culture,2026-06,Image,0,163,106.0,4,1,0,0,0.0,5
POST_089,Ocean Culture,2026-06,Image,0,115,60.0,5,0,0,0,0.0,5
POST_090,Ocean Culture,2026-06,Image,0,840,486.0,23,13,1,1,3.0,38
POST_091,Ocean Culture,2026-06,Image,0,1341,887.0,28,14,3,1,4.0,46
POST_092,Ocean Culture,2026-06,Carousel,0,542,206.0,33,0,1,0,0.0,34
POST_093,Ocean Culture,2026-07,Image,0,115,58.0,11,0,0,0,0.0,11
POST_094,PsicoCampus,2026-04,Image,0,205,70.0,26,0,0,0,1.0,26
POST_095,PsicoCampus,2026-04,Carousel,0,126,58.0,24,2,0,0,0.0,26
POST_096,PsicoCampus,2026-04,Carousel,0,175,60.0,22,0,0,0,0.0,22
POST_097,PsicoCampus,2026-04,Carousel,0,125,48.0,20,0,0,0,0.0,20
POST_098,PsicoCampus,2026-04,Carousel,0,155,54.0,22,1,1,0,0.0,24
POST_099,PsicoCampus,2026-04,Carousel,0,256,134.0,22,4,0,0,0.0,26
POST_100,PsicoCampus,2026-04,Carousel,0,202,76.0,20,0,0,0,0.0,20
POST_101,PsicoCampus,2026-04,Carousel,0,597,290.0,41,3,1,1,2.0,46
POST_102,PsicoCampus,2026-04,Carousel,0,283,111.0,32,1,2,1,0.0,36
POST_103,PsicoCampus,2026-04,Carousel,0,259,128.0,23,1,0,0,2.0,24
POST_104,PsicoCampus,2026-04,Carousel,0,181,67.0,24,0,0,0,0.0,24
POST_105,PsicoCampus,2026-04,Carousel,0,207,93.0,23,2,0,0,0.0,25
