project,metric,valid_n,mean,standard_deviation,minimum,q1,median,q3,maximum
Ocean Culture,views,93,183.89247311827958,183.129228686335,67.0,93.0,116.0,200.0,1341.0
Ocean Culture,reach,91,89.0,110.86257759546777,35.0,44.0,55.0,83.5,887.0
Ocean Culture,likes,93,8.408602150537634,6.844922839371665,0.0,4.0,7.0,11.0,35.0
Ocean Culture,shares,93,1.6344086021505377,7.786254536090815,0.0,0.0,0.0,1.0,73.0
Ocean Culture,comments,93,0.10752688172043011,0.4289107941964321,0.0,0.0,0.0,0.0,3.0
Ocean Culture,saves,93,0.06451612903225806,0.24700165520054568,0.0,0.0,0.0,0.0,1.0
Ocean Culture,follows,91,0.18681318681318682,0.8288155928403413,0.0,0.0,0.0,0.0,6.0
Ocean Culture,total_interactions,93,10.21505376344086,13.127178462992418,1.0,4.0,7.0,12.0,110.0
PsicoCampus,views,94,154.06382978723406,104.58045300516926,47.0,78.0,137.5,181.75,618.0
PsicoCampus,reach,94,73.88297872340425,61.333541908769725,21.0,36.25,55.0,90.25,384.0
PsicoCampus,likes,94,13.72340425531915,7.222134815771996,4.0,8.0,12.5,16.75,41.0
PsicoCampus,shares,94,0.9042553191489362,3.8662286058943707,0.0,0.0,0.0,0.75,33.0
PsicoCampus,comments,94,0.3617021276595745,0.8780607154379612,0.0,0.0,0.0,0.0,6.0
PsicoCampus,saves,94,0.05319148936170213,0.2256184464259304,0.0,0.0,0.0,0.0,1.0
PsicoCampus,follows,94,0.1702127659574468,0.5981746045007985,0.0,0.0,0.0,0.0,4.0
PsicoCampus,total_interactions,94,15.042553191489361,9.6429983442409,4.0,8.0,13.0,18.0,61.0
