project,post_type,metric,valid_n,q1,median,q3,minimum,maximum
Ocean Culture,Carousel,interactions_per_100_reached,22,12.222222222222221,20.152243589743588,25.79365079365079,7.196969696969697,32.857142857142854
Ocean Culture,Carousel,likes_per_100_reached,22,10.064229249011857,18.349358974358974,21.607378129117258,6.4393939393939394,31.25
Ocean Culture,Image,interactions_per_100_reached,68,5.5527688603531296,10.43123543123543,14.664134346261495,0.5208333333333333,22.22222222222222
Ocean Culture,Image,likes_per_100_reached,68,5.1480306634945805,9.262435677530018,14.567627494456762,0.0,21.428571428571427
Ocean Culture,Reel,interactions_per_100_reached,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
Ocean Culture,Reel,likes_per_100_reached,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
PsicoCampus,Carousel,interactions_per_100_reached,50,23.293067226890756,28.80184331797235,33.990566037735846,12.37785016286645,56.481481481481474
PsicoCampus,Carousel,likes_per_100_reached,50,21.488095238095237,25.723738626964433,33.16326530612245,10.423452768729643,43.75
PsicoCampus,Image,interactions_per_100_reached,22,17.418213969938108,22.649572649572647,24.872448979591837,12.5,37.142857142857146
PsicoCampus,Image,likes_per_100_reached,22,17.418213969938108,21.455938697318008,24.448428019856593,12.5,37.142857142857146
PsicoCampus,Reel,interactions_per_100_reached,22,8.67994937150838,12.88265306122449,17.21014492753623,4.827586206896552,25.0
PsicoCampus,Reel,likes_per_100_reached,22,8.598273235144745,12.613636363636363,16.623711340206185,4.672897196261682,25.0
